Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
3261745,3695.0,3433.0,1273.0,4095.0,3561.0,2404.0,3043.0,4095.0,STANDING_UPRIGHT
3261845,3724.0,3432.0,1247.0,4095.0,3556.0,2401.0,3044.0,4095.0,STANDING_UPRIGHT
3261945,3629.0,3351.0,1303.0,4095.0,3659.0,2367.0,2964.0,4095.0,STANDING_UPRIGHT
3262045,3771.0,3456.0,1220.0,4095.0,3551.0,2379.0,3041.0,4095.0,STANDING_UPRIGHT
3262145,3781.0,3509.0,1246.0,4095.0,3610.0,2381.0,3017.0,4095.0,STANDING_UPRIGHT
3262245,3727.0,3432.0,1239.0,4095.0,3552.0,2387.0,3044.0,4095.0,STANDING_UPRIGHT
3262345,3584.0,3368.0,1269.0,4095.0,3603.0,2374.0,2982.0,4095.0,STANDING_UPRIGHT
3262445,3727.0,3471.0,1298.0,4095.0,3560.0,2395.0,2981.0,4095.0,STANDING_UPRIGHT
3262545,3673.0,3322.0,1281.0,4095.0,3568.0,2378.0,2983.0,4095.0,STANDING_UPRIGHT
3262645,3640.0,3328.0,1283.0,4095.0,3573.0,2375.0,2999.0,4095.0,STANDING_UPRIGHT
3262745,3691.0,3324.0,1287.0,4095.0,3579.0,2347.0,2974.0,4095.0,STANDING_UPRIGHT
3262845,3739.0,3379.0,1291.0,4095.0,3608.0,2364.0,3006.0,4095.0,STANDING_UPRIGHT
3262945,3791.0,3389.0,1238.0,4095.0,3617.0,2367.0,3015.0,4095.0,STANDING_UPRIGHT
3263045,3744.0,3420.0,1241.0,4095.0,3613.0,2376.0,3019.0,4095.0,STANDING_UPRIGHT
3263145,3832.0,3487.0,1232.0,4095.0,3566.0,2389.0,3013.0,4095.0,STANDING_UPRIGHT
3263245,3693.0,3429.0,1303.0,4095.0,3608.0,2385.0,3023.0,4095.0,STANDING_UPRIGHT
3263645,3783.0,3392.0,1233.0,4095.0,3563.0,2389.0,2988.0,4095.0,STANDING_UPRIGHT
3263745,3763.0,3409.0,1295.0,4095.0,3566.0,2382.0,3017.0,4095.0,STANDING_UPRIGHT
3263845,3688.0,3288.0,1216.0,4095.0,3603.0,2385.0,3023.0,4095.0,STANDING_UPRIGHT
3263995,3655.0,3304.0,1291.0,4095.0,3575.0,2383.0,2989.0,4095.0,STANDING_UPRIGHT
3264745,3823.0,3431.0,1216.0,4095.0,3552.0,2381.0,2999.0,4095.0,STANDING_UPRIGHT
3264845,3671.0,3399.0,1275.0,4095.0,3594.0,2377.0,3021.0,4095.0,STANDING_UPRIGHT
3264945,3600.0,3395.0,1265.0,4095.0,3552.0,2361.0,2999.0,4095.0,STANDING_UPRIGHT
3265296,3598.0,3322.0,1263.0,4095.0,3576.0,2382.0,3003.0,4095.0,STANDING_UPRIGHT
3266113,3787.0,3376.0,1231.0,4095.0,3341.0,2377.0,3015.0,4095.0,STANDING_UPRIGHT
3266213,3622.0,3288.0,1287.0,4095.0,3594.0,2379.0,3021.0,4095.0,STANDING_UPRIGHT
3266313,3695.0,3337.0,1305.0,4095.0,3552.0,2387.0,2989.0,4095.0,STANDING_UPRIGHT
3266413,3701.0,3331.0,1303.0,4095.0,3595.0,2358.0,3019.0,4095.0,STANDING_UPRIGHT
3266513,3739.0,3336.0,1246.0,4095.0,3531.0,2353.0,3041.0,4095.0,STANDING_UPRIGHT
3266613,3743.0,3387.0,1271.0,4095.0,3551.0,2387.0,3015.0,4095.0,STANDING_UPRIGHT
3266713,3659.0,3377.0,1235.0,4095.0,3557.0,2387.0,3016.0,4095.0,STANDING_UPRIGHT
3266813,3688.0,3248.0,1216.0,4095.0,3563.0,2383.0,3016.0,4095.0,STANDING_UPRIGHT
3266913,3727.0,3375.0,1273.0,4095.0,3560.0,2385.0,3016.0,4095.0,STANDING_UPRIGHT
