Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
2871702,0.0,4095.0,4095.0,35.0,2693.0,2136.0,3168.0,4095.0,STAIRS_DOWN
2871802,0.0,4095.0,4095.0,54.0,2683.0,2152.0,3195.0,4095.0,STAIRS_DOWN
2871902,0.0,4095.0,4095.0,104.0,2608.0,2189.0,3240.0,4095.0,STAIRS_DOWN
2872002,0.0,4095.0,4095.0,237.0,2590.0,2236.0,3342.0,4095.0,STAIRS_DOWN
2872102,0.0,4095.0,4095.0,2001.0,3144.0,2923.0,4095.0,4095.0,STAIRS_DOWN
2872202,0.0,4095.0,4095.0,3176.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
2872302,0.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
2872402,0.0,4095.0,4095.0,3283.0,4095.0,4095.0,4095.0,3870.0,STAIRS_DOWN
2872502,33.0,3840.0,4095.0,4095.0,4095.0,4095.0,4095.0,2431.0,STAIRS_DOWN
2872602,532.0,2665.0,3611.0,4095.0,4095.0,4095.0,4095.0,1408.0,STAIRS_DOWN
2872702,632.0,2575.0,3134.0,4095.0,4095.0,4095.0,4095.0,1280.0,STAIRS_DOWN
2872802,619.0,2231.0,1819.0,4095.0,4095.0,4095.0,4095.0,1088.0,STAIRS_DOWN
2872902,713.0,2263.0,1991.0,3608.0,4095.0,4095.0,4095.0,1117.0,STAIRS_DOWN
2873002,849.0,2542.0,2373.0,4095.0,4095.0,4095.0,4095.0,1136.0,STAIRS_DOWN
2873102,1312.0,2565.0,2856.0,4095.0,4095.0,4095.0,4095.0,1423.0,STAIRS_DOWN
2873202,617.0,2135.0,1703.0,4095.0,4095.0,4095.0,4095.0,2838.0,STAIRS_DOWN
2873302,532.0,2008.0,1566.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
2873402,565.0,2137.0,1701.0,793.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
2873502,896.0,3075.0,3295.0,184.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
2873602,933.0,2809.0,3107.0,107.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
2873702,960.0,2732.0,2910.0,108.0,3539.0,3235.0,3401.0,4095.0,STAIRS_DOWN
2873802,864.0,2736.0,3614.0,65.0,2926.0,2509.0,2801.0,4095.0,STAIRS_DOWN
2873902,636.0,2783.0,3717.0,44.0,2883.0,2392.0,2691.0,4095.0,STAIRS_DOWN
2874002,351.0,3177.0,3799.0,31.0,2816.0,2409.0,2611.0,4095.0,STAIRS_DOWN
2874102,0.0,4095.0,4095.0,0.0,2903.0,2479.0,2616.0,4095.0,STAIRS_DOWN
2874202,0.0,4095.0,4095.0,9.0,2897.0,2448.0,2709.0,4095.0,STAIRS_DOWN
