Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
136256,1931.0,4095.0,3408.0,272.0,3836.0,2375.0,3523.0,4095.0,UNKNOWN
136405,1968.0,4095.0,3416.0,270.0,3856.0,2400.0,3545.0,4095.0,UNKNOWN
136505,1963.0,4095.0,3399.0,270.0,3918.0,2393.0,3555.0,4095.0,UNKNOWN
136605,3996.0,4095.0,3388.0,273.0,3837.0,2398.0,3540.0,4095.0,UNKNOWN
136705,2035.0,4095.0,3403.0,283.0,3944.0,2359.0,3560.0,4095.0,UNKNOWN
136805,1512.0,3356.0,2800.0,239.0,3683.0,2071.0,3384.0,4095.0,UNKNOWN
136905,133.0,4095.0,4095.0,128.0,3754.0,2099.0,3391.0,4095.0,UNKNOWN
137005,60.0,4095.0,4095.0,129.0,3671.0,2004.0,3419.0,4095.0,UNKNOWN
137105,173.0,4095.0,4095.0,152.0,3609.0,1933.0,3407.0,4095.0,UNKNOWN
137205,1112.0,4095.0,4095.0,295.0,3629.0,1891.0,3399.0,4095.0,UNKNOWN
137305,296.0,4095.0,4095.0,645.0,3659.0,1895.0,3503.0,4095.0,UNKNOWN
137405,2674.0,4095.0,4095.0,796.0,3768.0,2296.0,3680.0,4095.0,UNKNOWN
137505,832.0,4095.0,4095.0,747.0,3765.0,2296.0,3680.0,4095.0,UNKNOWN
137605,2207.0,4095.0,4095.0,765.0,3783.0,2295.0,3643.0,4095.0,UNKNOWN
137705,896.0,4095.0,4095.0,685.0,3795.0,2313.0,3643.0,4095.0,UNKNOWN
137805,2165.0,4095.0,4095.0,699.0,3869.0,2310.0,3637.0,4095.0,UNKNOWN
137905,896.0,4095.0,4095.0,632.0,3805.0,2328.0,3616.0,4095.0,UNKNOWN
138005,728.0,4095.0,4095.0,619.0,3801.0,2328.0,3616.0,4095.0,UNKNOWN
138105,489.0,4095.0,4095.0,632.0,3795.0,2329.0,3603.0,4095.0,UNKNOWN
138205,831.0,4095.0,4095.0,608.0,3883.0,2307.0,3569.0,4095.0,UNKNOWN
138305,3520.0,3758.0,4095.0,625.0,3849.0,2319.0,3579.0,4095.0,UNKNOWN
138405,632.0,4095.0,4095.0,597.0,3895.0,2291.0,3565.0,4095.0,UNKNOWN
138505,416.0,4095.0,4095.0,735.0,3875.0,2299.0,3573.0,4095.0,UNKNOWN
138605,402.0,4095.0,4095.0,783.0,3866.0,2300.0,3588.0,4095.0,UNKNOWN
138705,1311.0,4095.0,4095.0,967.0,3831.0,2303.0,3591.0,4095.0,UNKNOWN
138805,1071.0,4095.0,4095.0,1115.0,3819.0,2309.0,3611.0,4095.0,UNKNOWN
138905,1996.0,4095.0,4095.0,932.0,3933.0,2266.0,3592.0,4095.0,UNKNOWN
139005,991.0,4095.0,4095.0,868.0,3848.0,2283.0,3625.0,4095.0,UNKNOWN
139105,1431.0,4095.0,4095.0,851.0,3701.0,2352.0,3623.0,4095.0,UNKNOWN
139205,2771.0,4095.0,4095.0,875.0,4053.0,2245.0,3602.0,4095.0,UNKNOWN
139305,2747.0,4095.0,4095.0,884.0,3955.0,2247.0,3620.0,4095.0,UNKNOWN
139405,1978.0,4095.0,4095.0,776.0,3915.0,2257.0,3611.0,4095.0,UNKNOWN
139505,1937.0,4095.0,4095.0,651.0,3907.0,2251.0,3611.0,4095.0,UNKNOWN
139605,1792.0,4095.0,4095.0,631.0,3915.0,2272.0,3624.0,4095.0,UNKNOWN
139705,1760.0,4095.0,4095.0,647.0,3898.0,2264.0,3627.0,4095.0,UNKNOWN
139805,1724.0,4095.0,4095.0,649.0,3879.0,2236.0,3647.0,4095.0,UNKNOWN
139905,1856.0,4095.0,4095.0,635.0,3864.0,2245.0,3609.0,4095.0,UNKNOWN
140005,1875.0,4095.0,4095.0,569.0,3877.0,2231.0,3587.0,4095.0,UNKNOWN
140105,2047.0,4095.0,4095.0,499.0,3871.0,2208.0,3592.0,4095.0,UNKNOWN
140205,1928.0,4095.0,4095.0,550.0,3275.0,2348.0,3627.0,4095.0,UNKNOWN
140305,1855.0,4095.0,4095.0,552.0,3272.0,2361.0,3603.0,4095.0,UNKNOWN
140405,1707.0,4095.0,4095.0,543.0,3263.0,2368.0,3603.0,4095.0,UNKNOWN
140505,2591.0,4084.0,3248.0,690.0,3259.0,2359.0,3605.0,4095.0,UNKNOWN
140605,1843.0,4095.0,4095.0,556.0,3243.0,2368.0,3616.0,4095.0,UNKNOWN
140705,1869.0,4095.0,4095.0,589.0,3239.0,2366.0,3615.0,4095.0,UNKNOWN
140805,1887.0,4095.0,4095.0,543.0,3240.0,2361.0,3609.0,4095.0,UNKNOWN
140905,1824.0,4095.0,4095.0,551.0,3231.0,2368.0,3629.0,4095.0,UNKNOWN
141005,1751.0,4095.0,4095.0,544.0,3239.0,2357.0,3595.0,4095.0,UNKNOWN
141105,1768.0,4095.0,4095.0,537.0,3248.0,2368.0,3599.0,4095.0,UNKNOWN
141205,1745.0,4095.0,4095.0,532.0,3262.0,2350.0,3601.0,4095.0,UNKNOWN
141305,1752.0,4095.0,4095.0,540.0,3284.0,2355.0,3591.0,4095.0,UNKNOWN
141405,1776.0,4095.0,4095.0,543.0,3269.0,2352.0,3615.0,4095.0,UNKNOWN
141505,1771.0,4095.0,4095.0,540.0,3250.0,2357.0,3603.0,4095.0,UNKNOWN
141605,1703.0,3985.0,4051.0,536.0,3231.0,2368.0,3623.0,4095.0,UNKNOWN
141705,1699.0,3867.0,3879.0,539.0,3239.0,2352.0,3619.0,4095.0,UNKNOWN
141805,2416.0,3763.0,3040.0,643.0,3232.0,2356.0,3632.0,4095.0,UNKNOWN
141905,2415.0,3716.0,3009.0,619.0,3223.0,2367.0,3616.0,4095.0,UNKNOWN
142005,2431.0,3771.0,3056.0,596.0,3219.0,2368.0,3623.0,4095.0,UNKNOWN
142105,2407.0,3682.0,2975.0,591.0,3221.0,2360.0,3627.0,4095.0,UNKNOWN
142205,2379.0,3643.0,2951.0,595.0,3230.0,2360.0,3603.0,4095.0,UNKNOWN
142305,2388.0,3744.0,3020.0,601.0,3241.0,2355.0,3614.0,4095.0,UNKNOWN
142405,2347.0,3687.0,2977.0,592.0,3224.0,2356.0,3623.0,4095.0,UNKNOWN
142505,2431.0,3952.0,3166.0,600.0,3219.0,2352.0,3645.0,4095.0,UNKNOWN
142605,2449.0,3964.0,3147.0,605.0,3211.0,2347.0,3655.0,4095.0,UNKNOWN
142705,2491.0,3937.0,3121.0,601.0,3229.0,2377.0,3628.0,4095.0,UNKNOWN
142805,2315.0,3703.0,2954.0,592.0,3224.0,2360.0,3625.0,4095.0,UNKNOWN
142905,2392.0,3827.0,3078.0,596.0,3227.0,2347.0,3611.0,4095.0,UNKNOWN
143005,2307.0,3608.0,2860.0,593.0,3236.0,2353.0,3626.0,4095.0,UNKNOWN
143105,2448.0,3799.0,3044.0,596.0,3224.0,2355.0,3612.0,4095.0,UNKNOWN
143205,2401.0,3831.0,3055.0,605.0,3221.0,2360.0,3611.0,4095.0,UNKNOWN
143305,2301.0,3763.0,3016.0,603.0,3237.0,2373.0,3624.0,4095.0,UNKNOWN
143405,2345.0,3855.0,3061.0,605.0,3215.0,2357.0,3645.0,4095.0,UNKNOWN
143505,2388.0,3924.0,3122.0,603.0,3222.0,2361.0,3615.0,4095.0,UNKNOWN
143605,2364.0,3824.0,3056.0,598.0,3215.0,2368.0,3623.0,4095.0,UNKNOWN
143705,2523.0,4080.0,3257.0,601.0,3220.0,2359.0,3611.0,4095.0,UNKNOWN
143805,2435.0,4085.0,3512.0,547.0,3222.0,2353.0,3624.0,4095.0,UNKNOWN
143905,2568.0,4095.0,3531.0,551.0,3211.0,2357.0,3612.0,4095.0,UNKNOWN
144005,2532.0,4095.0,3517.0,555.0,3235.0,2364.0,3607.0,4095.0,UNKNOWN
144105,2524.0,4095.0,3548.0,546.0,3230.0,2360.0,3604.0,4095.0,UNKNOWN
144205,2530.0,4095.0,3531.0,551.0,3226.0,2365.0,3600.0,4095.0,UNKNOWN
144305,2509.0,4095.0,3525.0,553.0,3219.0,2356.0,3607.0,4095.0,UNKNOWN
144405,2487.0,4095.0,3517.0,555.0,3223.0,2364.0,3599.0,4095.0,UNKNOWN
144505,1580.0,4095.0,4095.0,451.0,3223.0,2364.0,3587.0,4095.0,UNKNOWN
