Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
1507556,4095.0,4095.0,4095.0,91.0,3768.0,2671.0,3224.0,4095.0,SITTING_CROSSLEGGED
1507656,4095.0,4095.0,4095.0,56.0,4056.0,2872.0,3344.0,4095.0,SITTING_CROSSLEGGED
1507756,4095.0,4095.0,4095.0,91.0,3885.0,2775.0,3372.0,4095.0,SITTING_CROSSLEGGED
1507906,4095.0,4095.0,4095.0,91.0,3997.0,2766.0,3421.0,4095.0,SITTING_CROSSLEGGED
1508006,4095.0,4095.0,4095.0,67.0,4057.0,2895.0,3344.0,4095.0,SITTING_CROSSLEGGED
1508106,4095.0,4095.0,4095.0,83.0,3904.0,2783.0,3427.0,4095.0,SITTING_CROSSLEGGED
1508206,4095.0,4095.0,4095.0,57.0,3991.0,2751.0,3370.0,4095.0,SITTING_CROSSLEGGED
1508306,4095.0,4095.0,4095.0,77.0,3868.0,2843.0,3322.0,4095.0,SITTING_CROSSLEGGED
1508406,4095.0,4095.0,4095.0,57.0,3964.0,2811.0,3320.0,4095.0,SITTING_CROSSLEGGED
1508506,4095.0,4095.0,4095.0,67.0,3943.0,2823.0,3312.0,4095.0,SITTING_CROSSLEGGED
1508606,4095.0,4095.0,4095.0,69.0,3852.0,2717.0,3288.0,4095.0,SITTING_CROSSLEGGED
1508706,4095.0,4095.0,4095.0,96.0,3939.0,2759.0,3245.0,4095.0,SITTING_CROSSLEGGED
1508806,4095.0,4095.0,4095.0,103.0,3893.0,2762.0,3363.0,4095.0,SITTING_CROSSLEGGED
1508906,4095.0,4095.0,4095.0,108.0,3836.0,2652.0,3319.0,4095.0,SITTING_CROSSLEGGED
1509006,4095.0,4095.0,4095.0,81.0,3827.0,2664.0,3257.0,4095.0,SITTING_CROSSLEGGED
1509106,4095.0,4095.0,4095.0,87.0,3920.0,2671.0,3212.0,4095.0,SITTING_CROSSLEGGED
1509206,4095.0,4095.0,4095.0,91.0,3885.0,2762.0,3357.0,4095.0,SITTING_CROSSLEGGED
