Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
1110714,2283.0,3395.0,1607.0,4095.0,2869.0,3024.0,2739.0,4095.0,STANDING_UPRIGHT
1110814,2223.0,3333.0,1570.0,4095.0,2899.0,2955.0,2803.0,4095.0,STANDING_UPRIGHT
1110914,2177.0,3228.0,1524.0,4095.0,2913.0,3005.0,2807.0,4095.0,STANDING_UPRIGHT
1111014,2145.0,3392.0,1559.0,3999.0,2903.0,2924.0,2794.0,4095.0,STANDING_UPRIGHT
1111114,2127.0,3247.0,1597.0,4095.0,2897.0,3031.0,2759.0,4095.0,STANDING_UPRIGHT
1111214,2143.0,3272.0,1516.0,4095.0,2905.0,3043.0,2792.0,4095.0,STANDING_UPRIGHT
1111314,2281.0,3465.0,1623.0,4095.0,2899.0,3011.0,2755.0,4095.0,STANDING_UPRIGHT
1111414,2224.0,3483.0,1645.0,4095.0,2911.0,3030.0,2775.0,4095.0,STANDING_UPRIGHT
1111514,2275.0,3427.0,1595.0,4095.0,2915.0,3016.0,2783.0,4095.0,STANDING_UPRIGHT
1111614,2223.0,3345.0,1569.0,4095.0,2889.0,2939.0,2803.0,4095.0,STANDING_UPRIGHT
1111714,2224.0,3483.0,1645.0,4095.0,2911.0,2932.0,2803.0,4095.0,STANDING_UPRIGHT
1111814,2188.0,3453.0,1615.0,4080.0,2901.0,2919.0,2819.0,4095.0,STANDING_UPRIGHT
1111914,2204.0,3451.0,1627.0,4095.0,2926.0,3019.0,2855.0,4095.0,STANDING_UPRIGHT
1112014,2155.0,3360.0,1592.0,4064.0,2913.0,3015.0,2841.0,4095.0,STANDING_UPRIGHT
1112114,2224.0,3519.0,1639.0,4095.0,2875.0,3061.0,2833.0,4095.0,STANDING_UPRIGHT
1112214,2096.0,3296.0,1528.0,4095.0,2851.0,3059.0,2799.0,4095.0,STANDING_UPRIGHT
1112314,2144.0,3436.0,1596.0,4064.0,2933.0,2935.0,2816.0,4095.0,STANDING_UPRIGHT
1112414,2135.0,3317.0,1510.0,4095.0,2875.0,3059.0,2813.0,4095.0,STANDING_UPRIGHT
1112514,2279.0,3479.0,1623.0,4095.0,2803.0,2993.0,2743.0,4095.0,STANDING_UPRIGHT
1112614,2193.0,3423.0,1547.0,4095.0,2883.0,3060.0,2825.0,4095.0,STANDING_UPRIGHT
1112714,2204.0,3454.0,1627.0,4092.0,2856.0,3061.0,2789.0,4095.0,STANDING_UPRIGHT
1112814,2279.0,3448.0,1601.0,4095.0,2824.0,3041.0,2759.0,4095.0,STANDING_UPRIGHT
1112914,2104.0,3360.0,1558.0,4095.0,2887.0,2925.0,2636.0,4095.0,STANDING_UPRIGHT
1113014,2096.0,3312.0,1536.0,4095.0,2833.0,3035.0,2737.0,4095.0,STANDING_UPRIGHT
1113264,2204.0,3545.0,1622.0,4094.0,2819.0,3027.0,2723.0,4095.0,STANDING_UPRIGHT
1113364,2158.0,3440.0,1596.0,4064.0,2778.0,2939.0,2656.0,4095.0,STANDING_UPRIGHT
1113464,2152.0,3351.0,1511.0,4095.0,2801.0,3000.0,2707.0,4095.0,STANDING_UPRIGHT
1113714,2232.0,3557.0,1635.0,4095.0,2907.0,2933.0,2656.0,4095.0,STANDING_UPRIGHT
1113814,2279.0,3491.0,1591.0,4095.0,2803.0,3019.0,2712.0,4095.0,STANDING_UPRIGHT
1113914,2167.0,3343.0,1519.0,4095.0,2840.0,3045.0,2744.0,4095.0,STANDING_UPRIGHT
1114014,2112.0,3288.0,1512.0,4095.0,2833.0,2940.0,2672.0,4095.0,STANDING_UPRIGHT
1114114,2259.0,3425.0,1579.0,4095.0,2873.0,3057.0,2779.0,4095.0,STANDING_UPRIGHT
1114214,2279.0,3471.0,1603.0,4095.0,2931.0,2940.0,2776.0,4095.0,STANDING_UPRIGHT
1114314,2110.0,3296.0,1504.0,4095.0,2911.0,2974.0,2779.0,4095.0,STANDING_UPRIGHT
1114414,2279.0,3483.0,1591.0,4095.0,2839.0,3060.0,2743.0,4095.0,STANDING_UPRIGHT
1114514,2241.0,3443.0,1571.0,4095.0,2853.0,3039.0,2762.0,4095.0,STANDING_UPRIGHT
1114614,2208.0,3452.0,1616.0,4095.0,2871.0,3016.0,2777.0,4095.0,STANDING_UPRIGHT
1114714,2108.0,3432.0,1579.0,4088.0,2907.0,2912.0,2686.0,4095.0,STANDING_UPRIGHT
1114814,2096.0,3384.0,1567.0,4095.0,2798.0,3013.0,2711.0,4095.0,STANDING_UPRIGHT
1114914,2183.0,3296.0,1603.0,4080.0,2865.0,2937.0,2725.0,4095.0,STANDING_UPRIGHT
1115014,2096.0,3368.0,1571.0,4095.0,2792.0,2912.0,2747.0,4095.0,STANDING_UPRIGHT
1115114,2275.0,3489.0,1607.0,4095.0,2839.0,3048.0,2747.0,4095.0,STANDING_UPRIGHT
1115214,2219.0,3288.0,1555.0,4095.0,2909.0,2912.0,2704.0,4095.0,STANDING_UPRIGHT
1115314,2159.0,3312.0,1567.0,4064.0,2850.0,3048.0,2749.0,4095.0,STANDING_UPRIGHT
1115414,2104.0,3338.0,1599.0,4095.0,2811.0,3012.0,2717.0,4095.0,STANDING_UPRIGHT
1115514,2219.0,3424.0,1560.0,4095.0,2863.0,3039.0,2773.0,4095.0,STANDING_UPRIGHT
1115614,2143.0,3361.0,1511.0,4095.0,2776.0,2981.0,2683.0,4095.0,STANDING_UPRIGHT
1115714,2112.0,3320.0,1569.0,4095.0,2915.0,2910.0,2703.0,4095.0,STANDING_UPRIGHT
1115814,2273.0,3501.0,1609.0,4095.0,2843.0,3034.0,2749.0,4095.0,STANDING_UPRIGHT
1115914,2219.0,3547.0,1637.0,4095.0,2851.0,2920.0,2697.0,4095.0,STANDING_UPRIGHT
1116014,2273.0,3465.0,1593.0,4095.0,2863.0,3011.0,2731.0,4095.0,STANDING_UPRIGHT
1116114,2249.0,3463.0,1575.0,4095.0,2807.0,3005.0,2685.0,4095.0,STANDING_UPRIGHT
1116214,2139.0,3320.0,1506.0,4095.0,2840.0,2941.0,2646.0,4095.0,STANDING_UPRIGHT
1116314,2231.0,3415.0,1563.0,4095.0,2889.0,3024.0,2785.0,4095.0,STANDING_UPRIGHT
1116414,2271.0,3481.0,1593.0,4095.0,2784.0,2957.0,2661.0,4095.0,STANDING_UPRIGHT
1116514,2185.0,3415.0,1539.0,4095.0,2856.0,2920.0,2699.0,4095.0,STANDING_UPRIGHT
1116614,2174.0,3472.0,1600.0,4062.0,2889.0,2928.0,2772.0,4095.0,STANDING_UPRIGHT
1116714,2096.0,3328.0,1520.0,4088.0,2905.0,2904.0,2746.0,4095.0,STANDING_UPRIGHT
1116814,2275.0,3515.0,1595.0,4095.0,2795.0,2998.0,2703.0,4095.0,STANDING_UPRIGHT
1116914,2096.0,3344.0,1566.0,4076.0,2871.0,2967.0,2773.0,4095.0,STANDING_UPRIGHT
