Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
3976758,2392.0,3683.0,1463.0,4095.0,2573.0,2611.0,2197.0,4095.0,STANDING_RIGHT_LEAN
3976858,2378.0,3683.0,1446.0,4095.0,2590.0,2647.0,2220.0,4095.0,STANDING_RIGHT_LEAN
3976958,2390.0,3672.0,1447.0,4095.0,2567.0,2602.0,2187.0,4095.0,STANDING_RIGHT_LEAN
3977058,2384.0,3647.0,1452.0,4095.0,2568.0,2599.0,2187.0,4095.0,STANDING_RIGHT_LEAN
3977158,2403.0,3672.0,1489.0,4095.0,2605.0,2643.0,2222.0,4095.0,STANDING_RIGHT_LEAN
3977258,2389.0,3691.0,1464.0,4095.0,2600.0,2637.0,2203.0,4095.0,STANDING_RIGHT_LEAN
3977358,2388.0,3663.0,1475.0,4095.0,2590.0,2635.0,2205.0,4095.0,STANDING_RIGHT_LEAN
3977458,2383.0,3663.0,1447.0,4095.0,2566.0,2591.0,2187.0,4095.0,STANDING_RIGHT_LEAN
3977558,2393.0,3606.0,1487.0,4095.0,2567.0,2595.0,2187.0,4095.0,STANDING_RIGHT_LEAN
3977658,2394.0,3699.0,1454.0,4095.0,2568.0,2592.0,2185.0,4095.0,STANDING_RIGHT_LEAN
3977758,2381.0,3685.0,1453.0,4095.0,2574.0,2601.0,2183.0,4095.0,STANDING_RIGHT_LEAN
3977858,2365.0,3623.0,1456.0,4095.0,2583.0,2634.0,2219.0,4095.0,STANDING_RIGHT_LEAN
3977958,2364.0,3687.0,1475.0,4095.0,2583.0,2633.0,2215.0,4095.0,STANDING_RIGHT_LEAN
3978058,2359.0,3703.0,1465.0,4095.0,2581.0,2643.0,2219.0,4095.0,STANDING_RIGHT_LEAN
3978158,2348.0,3735.0,1449.0,4095.0,2592.0,2637.0,2211.0,4095.0,STANDING_RIGHT_LEAN
3978258,2407.0,3641.0,1495.0,4095.0,2583.0,2623.0,2217.0,4095.0,STANDING_RIGHT_LEAN
3978358,2445.0,3630.0,1501.0,4095.0,2585.0,2629.0,2207.0,4095.0,STANDING_RIGHT_LEAN
3978458,2441.0,3634.0,1507.0,4095.0,2589.0,2629.0,2202.0,4095.0,STANDING_RIGHT_LEAN
3978558,2375.0,3615.0,1493.0,4095.0,2555.0,2585.0,2175.0,4095.0,STANDING_RIGHT_LEAN
3978658,2365.0,3675.0,1465.0,4095.0,2581.0,2629.0,2205.0,4095.0,STANDING_RIGHT_LEAN
3978758,2336.0,3732.0,1440.0,4095.0,2587.0,2628.0,2217.0,4095.0,STANDING_RIGHT_LEAN
3978858,2445.0,3649.0,1503.0,4095.0,2591.0,2627.0,2200.0,4095.0,STANDING_RIGHT_LEAN
3978958,2351.0,3739.0,1440.0,4095.0,2591.0,2628.0,2217.0,4095.0,STANDING_RIGHT_LEAN
3979058,2399.0,3703.0,1472.0,4095.0,2611.0,2623.0,2205.0,4095.0,STANDING_RIGHT_LEAN
3979158,2343.0,3680.0,1463.0,4095.0,2604.0,2608.0,2202.0,4095.0,STANDING_RIGHT_LEAN
3979258,2368.0,3735.0,1454.0,4095.0,2587.0,2628.0,2202.0,4095.0,STANDING_RIGHT_LEAN
3979358,2409.0,3580.0,1511.0,4095.0,2591.0,2629.0,2199.0,4095.0,STANDING_RIGHT_LEAN
3979458,2408.0,3580.0,1511.0,4095.0,2589.0,2627.0,2200.0,4095.0,STANDING_RIGHT_LEAN
3979558,2360.0,3723.0,1451.0,4095.0,2585.0,2627.0,2204.0,4095.0,STANDING_RIGHT_LEAN
3979658,2335.0,3660.0,1465.0,4095.0,2586.0,2629.0,2203.0,4095.0,STANDING_RIGHT_LEAN
3979758,2343.0,3579.0,1479.0,4095.0,2580.0,2627.0,2212.0,4095.0,STANDING_RIGHT_LEAN
3979858,2399.0,3576.0,1511.0,4095.0,2599.0,2631.0,2214.0,4095.0,STANDING_RIGHT_LEAN
