Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
2252208,2238.0,3343.0,1612.0,3212.0,2467.0,2411.0,4012.0,2176.0,SITTING_NORMAL
2252308,2232.0,3361.0,1620.0,3221.0,2460.0,2409.0,4000.0,2195.0,SITTING_NORMAL
2252408,2200.0,3370.0,1647.0,3227.0,2467.0,2406.0,3997.0,2195.0,SITTING_NORMAL
2252508,2212.0,3347.0,1653.0,3207.0,2447.0,2408.0,4021.0,2185.0,SITTING_NORMAL
2252608,2200.0,3365.0,1649.0,3225.0,2452.0,2408.0,4006.0,2183.0,SITTING_NORMAL
2252708,2247.0,3303.0,1636.0,3166.0,2461.0,2405.0,4007.0,2190.0,SITTING_NORMAL
2252808,2204.0,3307.0,1619.0,3176.0,2451.0,2397.0,3990.0,2197.0,SITTING_NORMAL
2252908,2251.0,3289.0,1620.0,3163.0,2454.0,2403.0,3990.0,2169.0,SITTING_NORMAL
2253008,2211.0,3299.0,1623.0,3177.0,2441.0,2398.0,3999.0,2184.0,SITTING_NORMAL
2253108,2251.0,3287.0,1622.0,3160.0,2457.0,2398.0,4012.0,2163.0,SITTING_NORMAL
2253208,2199.0,3346.0,1651.0,3223.0,2449.0,2401.0,4005.0,2187.0,SITTING_NORMAL
2253308,2219.0,3304.0,1647.0,3194.0,2445.0,2397.0,3987.0,2193.0,SITTING_NORMAL
2253408,2247.0,3275.0,1638.0,3168.0,2445.0,2391.0,3987.0,2175.0,SITTING_NORMAL
2253508,2212.0,3296.0,1655.0,3191.0,2439.0,2393.0,3983.0,2185.0,SITTING_NORMAL
2253608,2235.0,3295.0,1640.0,3184.0,2455.0,2391.0,3992.0,2176.0,SITTING_NORMAL
2253708,2251.0,3285.0,1630.0,3176.0,2444.0,2397.0,3963.0,2183.0,SITTING_NORMAL
2253808,2251.0,3313.0,1616.0,3168.0,2454.0,2395.0,3980.0,2153.0,SITTING_NORMAL
2253908,2224.0,3336.0,1622.0,3223.0,2451.0,2395.0,3975.0,2169.0,SITTING_NORMAL
2254008,2224.0,3343.0,1623.0,3231.0,2452.0,2391.0,3977.0,2217.0,SITTING_NORMAL
2254108,2247.0,3321.0,1627.0,3171.0,2443.0,2390.0,3935.0,2213.0,SITTING_NORMAL
2254208,2232.0,3345.0,1612.0,3180.0,2447.0,2391.0,3973.0,2219.0,SITTING_NORMAL
2254308,2224.0,3343.0,1612.0,3195.0,2447.0,2389.0,3977.0,2205.0,SITTING_NORMAL
2254408,2220.0,3357.0,1631.0,3195.0,2449.0,2391.0,3961.0,2213.0,SITTING_NORMAL
2254508,2243.0,3319.0,1623.0,3156.0,2449.0,2387.0,3987.0,2211.0,SITTING_NORMAL
2254608,2204.0,3323.0,1645.0,3199.0,2449.0,2394.0,3983.0,2219.0,SITTING_NORMAL
2254708,2203.0,3302.0,1614.0,3165.0,2397.0,2342.0,3903.0,2184.0,SITTING_NORMAL
2254808,2235.0,3292.0,1627.0,3180.0,2451.0,2391.0,3958.0,2228.0,SITTING_NORMAL
2254908,2243.0,3285.0,1621.0,3161.0,2449.0,2391.0,3973.0,2229.0,SITTING_NORMAL
2255008,2201.0,3303.0,1619.0,3172.0,2445.0,2391.0,3973.0,2229.0,SITTING_NORMAL
2255108,2201.0,3300.0,1619.0,3167.0,2395.0,2340.0,3900.0,2185.0,SITTING_NORMAL
2255208,2202.0,3301.0,1615.0,3167.0,2396.0,2343.0,3896.0,2187.0,SITTING_NORMAL
2255308,2237.0,3349.0,1610.0,3159.0,2447.0,2394.0,3961.0,2235.0,SITTING_NORMAL
2255408,2200.0,3301.0,1617.0,3165.0,2396.0,2327.0,3875.0,2189.0,SITTING_NORMAL
2255508,2201.0,3299.0,1619.0,3164.0,2397.0,2341.0,3891.0,2197.0,SITTING_NORMAL
2255608,2196.0,3318.0,1647.0,3183.0,2395.0,2340.0,3894.0,2201.0,SITTING_NORMAL
2255708,2201.0,3299.0,1615.0,3154.0,2397.0,2343.0,3891.0,2185.0,SITTING_NORMAL
2255808,2195.0,3319.0,1645.0,3217.0,2397.0,2339.0,3869.0,2143.0,SITTING_NORMAL
2255908,2235.0,3319.0,1612.0,3173.0,2449.0,2391.0,3955.0,2163.0,SITTING_NORMAL
2256008,2201.0,3290.0,1619.0,3161.0,2444.0,2393.0,3956.0,2174.0,SITTING_NORMAL
2256108,2201.0,3290.0,1619.0,3163.0,2445.0,2389.0,3955.0,2180.0,SITTING_NORMAL
2256208,2202.0,3295.0,1619.0,3163.0,2445.0,2391.0,3953.0,2167.0,SITTING_NORMAL
2256308,2190.0,3350.0,1645.0,3209.0,2447.0,2390.0,3940.0,2181.0,SITTING_NORMAL
2256408,2236.0,3323.0,1612.0,3150.0,2445.0,2391.0,3950.0,2179.0,SITTING_NORMAL
2256508,2235.0,3294.0,1625.0,3151.0,2447.0,2385.0,3927.0,2179.0,SITTING_NORMAL
2256608,2223.0,3287.0,1639.0,3165.0,2438.0,2391.0,3947.0,2223.0,SITTING_NORMAL
2256708,2221.0,3339.0,1619.0,3164.0,2439.0,2392.0,3945.0,2223.0,SITTING_NORMAL
2256808,2237.0,3284.0,1625.0,3141.0,2447.0,2392.0,3949.0,2215.0,SITTING_NORMAL
2256908,2227.0,3276.0,1631.0,3173.0,2437.0,2391.0,3944.0,2215.0,SITTING_NORMAL
2257008,2235.0,3300.0,1622.0,3162.0,2447.0,2391.0,3943.0,2225.0,SITTING_NORMAL
2257108,2243.0,3309.0,1611.0,3135.0,2447.0,2391.0,3944.0,2221.0,SITTING_NORMAL
2257208,2199.0,3275.0,1619.0,3151.0,2445.0,2393.0,3943.0,2219.0,SITTING_NORMAL
2257308,2225.0,3259.0,1632.0,3172.0,2445.0,2393.0,3943.0,2223.0,SITTING_NORMAL
2257408,2237.0,3311.0,1608.0,3131.0,2442.0,2391.0,3941.0,2219.0,SITTING_NORMAL
