Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
2984250,355.0,1839.0,1564.0,4095.0,2747.0,2334.0,3688.0,4095.0,STAIRS_DOWN
2984550,327.0,1882.0,1596.0,4095.0,3157.0,2292.0,3936.0,4095.0,STAIRS_DOWN
2984650,288.0,1879.0,1546.0,4095.0,4095.0,4095.0,3715.0,4095.0,STAIRS_DOWN
2984750,286.0,1812.0,1651.0,4095.0,4095.0,4095.0,3647.0,4095.0,STAIRS_DOWN
2984850,300.0,1863.0,1649.0,4095.0,3099.0,2339.0,3829.0,4095.0,STAIRS_DOWN
2984950,374.0,1806.0,1611.0,4095.0,3013.0,2341.0,3901.0,4095.0,STAIRS_DOWN
2985050,352.0,1800.0,1655.0,4095.0,3021.0,2315.0,3859.0,4095.0,STAIRS_DOWN
2985150,325.0,1887.0,1679.0,4095.0,4095.0,1903.0,3644.0,4095.0,STAIRS_DOWN
2985250,332.0,1875.0,1679.0,4095.0,4095.0,2038.0,3580.0,4095.0,STAIRS_DOWN
2985350,357.0,1879.0,1691.0,4095.0,4095.0,1959.0,3691.0,4030.0,STAIRS_DOWN
2985450,442.0,1880.0,1759.0,4095.0,3405.0,2215.0,3639.0,3635.0,STAIRS_DOWN
2985550,759.0,2757.0,3621.0,4095.0,3355.0,2261.0,3095.0,3547.0,STAIRS_DOWN
2985650,629.0,2602.0,3450.0,4095.0,2973.0,2235.0,3035.0,4095.0,STAIRS_DOWN
2985750,0.0,4095.0,4095.0,4095.0,2811.0,2196.0,2982.0,4095.0,STAIRS_DOWN
2985850,0.0,4095.0,4095.0,4095.0,2829.0,2231.0,2859.0,4095.0,STAIRS_DOWN
2985950,0.0,4095.0,4095.0,64.0,2723.0,2176.0,3041.0,4095.0,STAIRS_DOWN
2986050,0.0,4095.0,4095.0,87.0,2717.0,2252.0,2933.0,4095.0,STAIRS_DOWN
2986150,0.0,4095.0,4095.0,37.0,2724.0,2280.0,2909.0,4095.0,STAIRS_DOWN
2986250,0.0,4095.0,4095.0,5.0,2707.0,2281.0,2790.0,4095.0,STAIRS_UP
2986350,0.0,4095.0,4095.0,10.0,2679.0,2263.0,2791.0,4095.0,STAIRS_UP
2986450,0.0,4095.0,4095.0,4.0,2620.0,2222.0,2829.0,4095.0,STAIRS_UP
2986550,0.0,4095.0,4095.0,35.0,2683.0,2271.0,2797.0,4095.0,STAIRS_UP
2986650,0.0,4095.0,4095.0,67.0,2627.0,2217.0,2861.0,4095.0,STAIRS_UP
2986750,0.0,4095.0,4095.0,69.0,2695.0,2294.0,2846.0,4095.0,STAIRS_UP
2986850,0.0,4095.0,3736.0,80.0,2871.0,2553.0,3153.0,4095.0,STAIRS_UP
2986950,8.0,3816.0,3483.0,88.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
2987050,128.0,2809.0,2024.0,171.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
2987150,216.0,2112.0,1771.0,259.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
2987250,300.0,2094.0,1624.0,797.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
2987350,352.0,2053.0,1689.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
2987450,379.0,2157.0,1632.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
2987550,297.0,2068.0,1624.0,4095.0,4095.0,4095.0,4095.0,2042.0,STAIRS_UP
