Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
3857556,0.0,4095.0,4095.0,4095.0,2652.0,2519.0,3870.0,4095.0,STAIRS_UP
3857656,0.0,4095.0,4095.0,4095.0,2591.0,2457.0,3731.0,4095.0,STAIRS_UP
3857756,0.0,4095.0,4095.0,806.0,2552.0,2415.0,3688.0,4095.0,STAIRS_UP
3857856,0.0,4095.0,4095.0,95.0,2517.0,2368.0,3569.0,4095.0,STAIRS_UP
3857956,0.0,4095.0,4095.0,27.0,2460.0,2311.0,3496.0,4095.0,STAIRS_UP
3858056,0.0,4095.0,4095.0,24.0,2461.0,2309.0,3441.0,4095.0,STAIRS_UP
3858156,0.0,4095.0,4095.0,17.0,2443.0,2310.0,3427.0,4095.0,STAIRS_UP
3858256,0.0,4095.0,4095.0,26.0,2426.0,2259.0,3348.0,4095.0,STAIRS_UP
3858356,0.0,4095.0,4095.0,21.0,2420.0,2253.0,3327.0,4095.0,STAIRS_UP
3858456,0.0,4095.0,4095.0,64.0,2419.0,2259.0,3306.0,4095.0,STAIRS_UP
3858556,0.0,4095.0,4095.0,59.0,2441.0,2284.0,3297.0,4095.0,STAIRS_UP
3858656,0.0,4095.0,4095.0,95.0,2442.0,2301.0,3323.0,4095.0,STAIRS_UP
3858756,45.0,3348.0,2835.0,139.0,2493.0,2341.0,3473.0,4095.0,STAIRS_UP
3858856,85.0,2904.0,2160.0,163.0,3980.0,3932.0,4095.0,4095.0,STAIRS_UP
3858956,167.0,2595.0,2044.0,171.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
3859056,260.0,2120.0,1944.0,216.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
3859156,311.0,2281.0,2227.0,302.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
3859256,380.0,2211.0,1991.0,1681.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
3859356,398.0,2281.0,2234.0,3800.0,4095.0,4095.0,4095.0,4095.0,STAIRS_UP
3859456,339.0,2627.0,3264.0,4095.0,4095.0,4095.0,4095.0,3658.0,STAIRS_UP
3859556,448.0,3000.0,3765.0,4095.0,4095.0,4095.0,4095.0,1862.0,STAIRS_UP
3859656,621.0,2835.0,3657.0,4095.0,4095.0,4095.0,4095.0,1831.0,STAIRS_UP
3859756,759.0,2701.0,3495.0,4095.0,4095.0,4095.0,4095.0,3455.0,STAIRS_UP
3859856,805.0,2681.0,3481.0,4095.0,3467.0,4095.0,4095.0,4095.0,STAIRS_UP
3859956,819.0,2681.0,3459.0,4095.0,3447.0,4095.0,4095.0,4095.0,STAIRS_UP
3860056,662.0,2905.0,3661.0,4095.0,2917.0,3615.0,4095.0,4095.0,STAIRS_UP
