Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
4292400,275.0,1947.0,1565.0,4095.0,3051.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4292550,297.0,1958.0,1582.0,4095.0,3163.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4292650,301.0,1947.0,1608.0,4095.0,3253.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4292750,315.0,1945.0,1615.0,4095.0,3438.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4292850,348.0,1952.0,1629.0,4095.0,3933.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4292950,317.0,1973.0,1604.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293050,285.0,1984.0,1595.0,4095.0,3994.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293150,288.0,1968.0,1591.0,4095.0,3789.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293250,295.0,1976.0,1599.0,4095.0,3568.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293350,281.0,1971.0,1583.0,4095.0,3501.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293450,275.0,1959.0,1563.0,4095.0,3532.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293550,273.0,1976.0,1545.0,4095.0,3436.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293650,293.0,1955.0,1581.0,4095.0,3491.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293750,281.0,1968.0,1551.0,4095.0,3411.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293850,315.0,1973.0,1550.0,4095.0,3508.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4293950,312.0,1967.0,1567.0,4095.0,3533.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294050,317.0,1935.0,1559.0,4095.0,3595.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294150,327.0,1920.0,1575.0,4095.0,3607.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294250,317.0,1943.0,1564.0,4095.0,3573.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294350,313.0,1928.0,1585.0,4095.0,3485.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294450,317.0,1989.0,1573.0,4095.0,3427.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294550,309.0,1945.0,1572.0,4095.0,3466.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294650,321.0,1965.0,1601.0,4095.0,3835.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294750,300.0,1960.0,1556.0,4095.0,3691.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294850,303.0,1943.0,1566.0,4095.0,3577.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4294950,309.0,1979.0,1576.0,4095.0,3624.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295050,299.0,1946.0,1605.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295150,299.0,1977.0,1605.0,4095.0,4085.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295250,285.0,1981.0,1561.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295350,285.0,1949.0,1572.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295450,287.0,1978.0,1557.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295550,268.0,1959.0,1548.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295650,268.0,1948.0,1564.0,4095.0,4095.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295750,282.0,1975.0,1568.0,3955.0,4040.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295850,275.0,1950.0,1545.0,3291.0,4053.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4295950,267.0,1940.0,1587.0,3417.0,3955.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296050,277.0,1965.0,1536.0,4095.0,3911.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296150,267.0,1936.0,1547.0,4095.0,3817.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296250,272.0,1944.0,1530.0,4095.0,3977.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296350,284.0,1935.0,1549.0,4095.0,3880.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296450,294.0,1965.0,1567.0,4095.0,3690.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296550,285.0,1935.0,1557.0,4095.0,3593.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296650,281.0,1951.0,1579.0,4095.0,3667.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296750,293.0,1933.0,1555.0,4095.0,3609.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296850,297.0,1935.0,1567.0,4095.0,3625.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4296950,311.0,1960.0,1564.0,4095.0,3399.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4297050,339.0,1946.0,1579.0,4095.0,3245.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4297150,331.0,1947.0,1579.0,4095.0,3241.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4297250,341.0,1960.0,1577.0,4095.0,3212.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4297350,328.0,1952.0,1566.0,4095.0,3236.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4297450,333.0,1936.0,1559.0,4095.0,3155.0,4095.0,4095.0,4095.0,STAIRS_DOWN
4297550,319.0,1941.0,1567.0,2871.0,3119.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4297650,315.0,1941.0,1565.0,4095.0,3099.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4297750,295.0,1961.0,1575.0,4095.0,3113.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4297850,303.0,1967.0,1591.0,4095.0,3087.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4297950,290.0,1913.0,1551.0,4095.0,3163.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298050,295.0,1957.0,1567.0,4095.0,3053.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298150,267.0,1935.0,1563.0,4095.0,3147.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298250,268.0,1952.0,1538.0,4095.0,3233.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298350,276.0,1985.0,1537.0,4095.0,3205.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298450,288.0,1935.0,1543.0,4095.0,3189.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298550,301.0,1953.0,1575.0,4095.0,3019.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298650,304.0,1967.0,1536.0,4095.0,3115.0,4051.0,4095.0,4095.0,WALKING_FORWARD
4298750,313.0,1995.0,1576.0,4095.0,2920.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4298850,323.0,1963.0,1585.0,4095.0,2952.0,4077.0,4095.0,4095.0,WALKING_FORWARD
4298950,327.0,1995.0,1612.0,4095.0,2731.0,4075.0,4095.0,4095.0,WALKING_FORWARD
4299050,392.0,2030.0,1644.0,4095.0,2935.0,3938.0,4095.0,4095.0,WALKING_FORWARD
4299150,377.0,1999.0,1661.0,4095.0,2737.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4299250,416.0,2068.0,1712.0,4095.0,2877.0,3939.0,4095.0,4095.0,WALKING_FORWARD
4299350,428.0,2028.0,1711.0,4095.0,2645.0,4095.0,4077.0,4095.0,WALKING_FORWARD
4299450,429.0,2000.0,1697.0,4095.0,2645.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4299550,373.0,1962.0,1611.0,4095.0,2581.0,3991.0,4069.0,4095.0,WALKING_FORWARD
4299650,233.0,1957.0,1605.0,4095.0,2581.0,3933.0,4014.0,4095.0,WALKING_FORWARD
4299750,159.0,1969.0,1591.0,4095.0,2616.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4299850,159.0,1940.0,1523.0,4095.0,2756.0,3800.0,4095.0,4095.0,WALKING_FORWARD
4299950,175.0,1933.0,1514.0,4095.0,2857.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4300050,211.0,1961.0,1542.0,4095.0,3017.0,3951.0,4095.0,4095.0,WALKING_FORWARD
4300150,199.0,1915.0,1515.0,4095.0,2885.0,3893.0,4095.0,4095.0,WALKING_FORWARD
4300250,199.0,1951.0,1547.0,4095.0,2933.0,4031.0,4095.0,4095.0,WALKING_FORWARD
4300350,224.0,1934.0,1520.0,4095.0,2900.0,3945.0,4095.0,4095.0,WALKING_FORWARD
4300450,239.0,1941.0,1557.0,4095.0,2603.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4300550,230.0,1983.0,1591.0,4095.0,2603.0,4095.0,4063.0,4095.0,WALKING_FORWARD
4300650,219.0,1960.0,1584.0,4095.0,3046.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4300750,202.0,1977.0,1605.0,4095.0,2956.0,4095.0,4055.0,4095.0,WALKING_FORWARD
4300850,200.0,1976.0,1593.0,4095.0,3014.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4300950,159.0,2007.0,1611.0,4095.0,2957.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4301050,180.0,1981.0,1568.0,4095.0,3018.0,4040.0,4025.0,4095.0,WALKING_FORWARD
4301150,188.0,1984.0,1567.0,4095.0,2887.0,4095.0,4031.0,4095.0,WALKING_FORWARD
4301250,173.0,2020.0,1613.0,4095.0,2858.0,4021.0,4095.0,4095.0,WALKING_FORWARD
4301350,155.0,2111.0,1609.0,4095.0,2987.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4301450,161.0,2135.0,1641.0,4095.0,3111.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4301550,189.0,2060.0,1593.0,4095.0,3149.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4301650,225.0,2048.0,1576.0,4095.0,3116.0,4095.0,4095.0,4095.0,WALKING_FORWARD
4301750,227.0,1991.0,1514.0,4095.0,2900.0,3881.0,4095.0,4095.0,WALKING_FORWARD
4301850,236.0,1984.0,1519.0,4095.0,2684.0,4037.0,4095.0,4095.0,WALKING_FORWARD
4301950,264.0,1999.0,1527.0,4095.0,2661.0,3946.0,4095.0,4095.0,WALKING_FORWARD
4302050,271.0,1990.0,1504.0,4095.0,2706.0,3816.0,4095.0,4095.0,WALKING_FORWARD
4302150,265.0,1992.0,1516.0,4095.0,2708.0,3692.0,4095.0,4095.0,WALKING_FORWARD
4302250,261.0,1994.0,1519.0,4095.0,2646.0,3609.0,4039.0,4095.0,WALKING_FORWARD
4302350,256.0,2015.0,1543.0,4095.0,2715.0,3655.0,4095.0,4095.0,WALKING_FORWARD
4302450,267.0,2009.0,1528.0,4095.0,2519.0,3515.0,3796.0,4095.0,WALKING_FORWARD
4302550,244.0,2009.0,1547.0,4095.0,2651.0,3572.0,4003.0,4095.0,WALKING_FORWARD
4302650,246.0,2041.0,1575.0,4095.0,2717.0,3739.0,4083.0,4095.0,WALKING_FORWARD
4302750,249.0,2024.0,1561.0,4095.0,2589.0,4023.0,4083.0,4095.0,WALKING_FORWARD
4302850,239.0,2024.0,1554.0,4095.0,2667.0,3929.0,4079.0,4095.0,WALKING_FORWARD
4302950,236.0,2035.0,1563.0,4095.0,2579.0,4021.0,4073.0,4095.0,WALKING_FORWARD
4303050,230.0,2011.0,1558.0,4095.0,2570.0,4062.0,3990.0,4095.0,WALKING_FORWARD
4303150,221.0,2016.0,1560.0,4095.0,3079.0,4095.0,4025.0,4095.0,WALKING_FORWARD
4303250,235.0,2023.0,1558.0,4095.0,2965.0,4095.0,3940.0,4095.0,WALKING_FORWARD
4303350,220.0,2043.0,1576.0,4095.0,3063.0,4095.0,4011.0,4095.0,WALKING_FORWARD
4303450,235.0,1996.0,1534.0,4095.0,2711.0,4095.0,4050.0,4095.0,WALKING_FORWARD
4303550,231.0,2027.0,1568.0,4095.0,2757.0,3725.0,4076.0,4095.0,WALKING_FORWARD
4303650,233.0,1998.0,1545.0,4095.0,2635.0,3884.0,4079.0,4095.0,WALKING_FORWARD
4303750,251.0,2025.0,1535.0,4095.0,2605.0,3861.0,4095.0,4095.0,WALKING_FORWARD
4303850,235.0,2003.0,1545.0,4095.0,2524.0,3784.0,3995.0,4095.0,WALKING_FORWARD
4303950,263.0,2000.0,1548.0,4095.0,2579.0,3820.0,4056.0,4095.0,WALKING_FORWARD
4304050,244.0,1999.0,1547.0,4095.0,2598.0,3645.0,3959.0,4095.0,WALKING_FORWARD
4304150,251.0,2024.0,1568.0,4095.0,3129.0,4095.0,3934.0,4095.0,WALKING_FORWARD
4304250,247.0,2029.0,1579.0,4095.0,3207.0,4095.0,3951.0,4095.0,WALKING_FORWARD
4304350,263.0,1997.0,1551.0,4095.0,2899.0,4095.0,3860.0,4095.0,WALKING_FORWARD
4304450,297.0,1984.0,1549.0,4095.0,2715.0,3685.0,3997.0,4095.0,WALKING_FORWARD
4304550,293.0,2008.0,1568.0,4095.0,2636.0,3593.0,4039.0,4095.0,WALKING_FORWARD
4304650,283.0,2029.0,1591.0,4095.0,2607.0,3551.0,4052.0,4095.0,WALKING_FORWARD
4304750,285.0,1997.0,1565.0,4095.0,2526.0,3422.0,3993.0,4095.0,WALKING_FORWARD
4304850,287.0,2032.0,1607.0,4095.0,2617.0,3285.0,4029.0,4095.0,WALKING_FORWARD
4304950,311.0,2043.0,1619.0,4095.0,2578.0,3477.0,4083.0,4095.0,WALKING_FORWARD
4305050,333.0,1999.0,1593.0,4095.0,2485.0,3405.0,3977.0,4095.0,WALKING_FORWARD
4305150,345.0,2010.0,1597.0,4095.0,2431.0,3384.0,3900.0,4095.0,WALKING_FORWARD
4305250,339.0,2009.0,1594.0,4095.0,2495.0,3418.0,4009.0,4095.0,WALKING_FORWARD
4305350,336.0,2011.0,1599.0,4095.0,2471.0,3347.0,3943.0,4095.0,WALKING_FORWARD
4305450,347.0,2022.0,1608.0,4095.0,2495.0,3243.0,3965.0,4095.0,WALKING_FORWARD
4305550,347.0,2031.0,1611.0,4095.0,2509.0,3175.0,3944.0,4095.0,WALKING_FORWARD
4305650,364.0,2041.0,1608.0,4095.0,2583.0,3195.0,4028.0,4095.0,WALKING_FORWARD
4305750,377.0,2037.0,1591.0,4095.0,2587.0,3209.0,4059.0,4095.0,WALKING_FORWARD
4305850,357.0,2063.0,1635.0,4095.0,2555.0,3208.0,4049.0,4095.0,WALKING_FORWARD
4305950,361.0,2013.0,1616.0,4095.0,2494.0,3263.0,3964.0,4083.0,WALKING_FORWARD
4306050,391.0,2014.0,1597.0,4095.0,2423.0,3397.0,3901.0,4095.0,STAIRS_UP
4306150,539.0,2825.0,3596.0,4095.0,2419.0,3285.0,3882.0,4084.0,STAIRS_UP
4306250,638.0,2665.0,3498.0,4095.0,2490.0,3028.0,3900.0,4095.0,STAIRS_UP
4306350,43.0,3680.0,4095.0,4095.0,2487.0,2838.0,3865.0,4095.0,STAIRS_UP
4306450,0.0,4095.0,4095.0,91.0,2414.0,2746.0,3753.0,4095.0,STAIRS_UP
