Timestamp,L_Toe,L_Forefoot,L_Heel,L_Knee,R_Toe,R_Forefoot,R_Heel,R_Knee,Label
2376746,3477.0,2039.0,1673.0,3998.0,2927.0,4095.0,4095.0,863.0,SITTING_NORMAL
2376846,3436.0,2035.0,1659.0,3884.0,2938.0,4095.0,4095.0,867.0,SITTING_NORMAL
2376996,3432.0,2071.0,1687.0,3915.0,2921.0,4095.0,4095.0,875.0,SITTING_NORMAL
2377146,3475.0,2071.0,1695.0,3867.0,2935.0,4095.0,4095.0,863.0,SITTING_NORMAL
2377246,3469.0,2023.0,1669.0,3883.0,2931.0,4095.0,4095.0,861.0,SITTING_NORMAL
2377346,3452.0,2065.0,1659.0,3975.0,2961.0,4095.0,4095.0,875.0,SITTING_NORMAL
2377446,3531.0,2023.0,1645.0,3963.0,2973.0,4095.0,4095.0,878.0,SITTING_NORMAL
2377546,3543.0,2031.0,1639.0,3977.0,2943.0,4095.0,4095.0,873.0,SITTING_NORMAL
2377646,3541.0,2038.0,1653.0,3927.0,2969.0,4095.0,4095.0,872.0,SITTING_NORMAL
2377746,3496.0,2030.0,1640.0,4009.0,2952.0,4095.0,4095.0,871.0,SITTING_NORMAL
2377846,3486.0,2023.0,1645.0,3912.0,2922.0,4095.0,4095.0,857.0,SITTING_NORMAL
2377946,3531.0,2063.0,1678.0,3963.0,2952.0,4095.0,4095.0,864.0,SITTING_NORMAL
2378046,3530.0,2027.0,1644.0,4051.0,2952.0,4095.0,4095.0,865.0,SITTING_NORMAL
2378146,3531.0,2059.0,1671.0,4053.0,2953.0,4095.0,4095.0,863.0,SITTING_NORMAL
2378246,3480.0,2025.0,1644.0,4020.0,2963.0,4095.0,4095.0,859.0,SITTING_NORMAL
2378346,3481.0,2024.0,1645.0,4011.0,2919.0,4095.0,4095.0,847.0,SITTING_NORMAL
2378446,3480.0,2025.0,1647.0,3996.0,2944.0,4095.0,4095.0,869.0,SITTING_NORMAL
2378546,3535.0,2029.0,1652.0,4013.0,2967.0,4095.0,4095.0,869.0,SITTING_NORMAL
2378646,3535.0,2031.0,1645.0,4039.0,2969.0,4095.0,4095.0,870.0,SITTING_NORMAL
2378746,3485.0,2063.0,1655.0,4041.0,2969.0,4095.0,4095.0,869.0,SITTING_NORMAL
2378846,3507.0,2063.0,1640.0,4055.0,2956.0,4095.0,4095.0,870.0,SITTING_NORMAL
